route_code,city_a,city_b,color,type,cost,length,points
WT_BLI_YVR,vancouver,bellingham,white,train,2,2,2
BT_BLI_YVR,vancouver,bellingham,black,train,2,2,2
WS_YVR_YYJ,vancouver,victoria,white,ship,2,2,2
BS_YVR_YYJ,vancouver,victoria,black,ship,2,2,2
AT_BLI_SEA,bellingham,seattle,any,train,2,2,2
AT_BLI_EAT,bellingham,wenatchee,any,train,4,2,2
WS_BLI_YYJ,bellingham,victoria,white,ship,1,1,1
BS_BLI_YYJ,bellingham,victoria,black,ship,1,1,1
WS_AST_YYJ,victoria,astoria,white,ship,4,4,7
BS_AST_YYJ,victoria,astoria,black,ship,4,4,7
WS_SEA_YYJ,victoria,seattle,white,ship,2,2,2
BS_SEA_YYJ,victoria,seattle,black,ship,2,2,2
AS_AST_PDX,astoria,portland,any,ship,2,2,2
WT_PDX_SEA,seattle,portland,white,train,2,2,2
BT_PDX_SEA,seattle,portland,black,train,2,2,2
WT_EAT_SEA,seattle,wenatchee,white,train,3,3,4
BT_EAT_SEA,seattle,wenatchee,black,train,3,3,4
WT_PSC_SEA,seattle,kennewick,white,train,4,4,7
BT_PSC_SEA,seattle,kennewick,black,train,4,4,7
WT_GEG_PSC,spokane,kennewick,white,train,3,3,4
BT_GEG_PSC,spokane,kennewick,black,train,3,3,4
WT_EAT_GEG,spokane,wenatchee,white,train,3,3,4
BT_EAT_GEG,spokane,wenatchee,black,train,3,3,4
