color,type,harbor,value,quantity
pink,train,FALSE,1,7
pink,train,TRUE,1,4
yellow,train,FALSE,1,7
yellow,train,TRUE,1,4
green,train,FALSE,1,7
green,train,TRUE,1,4
red,train,FALSE,1,7
red,train,TRUE,1,4
white,train,FALSE,1,7
white,train,TRUE,1,4
black,train,FALSE,1,7
black,train,TRUE,1,4
wild,train,FALSE,1,14
pink,ship,TRUE,1,4
pink,ship,FALSE,2,6
yellow,ship,TRUE,1,4
yellow,ship,FALSE,2,6
green,ship,TRUE,1,4
green,ship,FALSE,2,6
red,ship,TRUE,1,4
red,ship,FALSE,2,6
white,ship,TRUE,1,4
white,ship,FALSE,2,6
black,ship,TRUE,1,4
black,ship,FALSE,2,6
