name,harbor
al_qahira,TRUE
anchorage,TRUE
antarctica,FALSE
athina,TRUE
bangkok,TRUE
beijing,FALSE
buenos_aires,TRUE
cambridge_bay,TRUE
cape_town,TRUE
caracas,TRUE
casablanca,TRUE
christchurch,TRUE
dar_es_salaam,TRUE
darwin,TRUE
djibouti,TRUE
edinburgh,TRUE
hamburg,TRUE
hong_kong,TRUE
honolulu,TRUE
jakarta,TRUE
lagos,TRUE
lahore,FALSE
lima,FALSE
los_angeles,TRUE
luanda,TRUE
manila,TRUE
marseilles,TRUE
mexico_city,FALSE
miami,TRUE
moskva,FALSE
mumbai,TRUE
murmansk,FALSE
new_york_city,TRUE
novosibirsk,FALSE
perth,TRUE
petropavlosk,FALSE
port_moresby,TRUE
reykjavik,TRUE
rio_de_janeiro,TRUE
sydney,TRUE
tehran,FALSE
tiksi,FALSE
toamasina,FALSE
tokyo,TRUE
valparaiso,TRUE
vancouver,TRUE
winnipeg,FALSE
yakutsk,FALSE
